# ZBIRNI REZULTATI EVALUACIJE EKIP
Skupaj Igralcev,Pravilno Razvrščeni,Točnost (%),Precision (%),Recall (%),F1-score (%),Uporabljena Preslikava
21,21,100.0,100.0,100.0,100.0,"Originalna (KMeans 0 -> GT 0, KMeans 1 -> GT 1)"

# PODROBNOSTI PO IGRALCIH IN PRESLIKAVA ID-JEV
Python ID,CVAT XML ID,Vloga,GT Ekipa (CVAT),Predvideno (KMeans),Pravilno Razvrščen
0,0,IGRALEC,1,1,DA
1,1,IGRALEC,0,0,DA
2,2,IGRALEC,1,1,DA
3,3,IGRALEC,1,1,DA
4,4,IGRALEC,1,1,DA
5,5,IGRALEC,1,1,DA
6,6,IGRALEC,0,0,DA
7,7,IGRALEC,0,0,DA
8,8,IGRALEC,1,1,DA
9,9,IGRALEC,1,1,DA
10,10,IGRALEC,0,0,DA
11,11,IGRALEC,0,0,DA
12,12,IGRALEC,0,0,DA
14,14,IGRALEC,0,0,DA
16,16,IGRALEC,0,0,DA
17,17,IGRALEC,1,1,DA
18,18,IGRALEC,1,1,DA
19,19,IGRALEC,0,0,DA
21,20,IGRALEC,0,0,DA
22,21,IGRALEC,1,1,DA
20000,13,GOLMAN,1,1,DA
